CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0031408111422004VY0F;14/01/2021;14;0,326;R
ES0031408111422004VY0F;14/01/2021;15;0,288;R
ES0031408111422004VY0F;14/01/2021;16;0,241;R
ES0031408111422004VY0F;14/01/2021;17;0,243;R
ES0031408111422004VY0F;14/01/2021;18;0,246;R
ES0031408111422004VY0F;14/01/2021;19;0,386;R
ES0031408111422004VY0F;14/01/2021;20;0,479;R
ES0031408111422004VY0F;14/01/2021;21;0,451;R
ES0031408111422004VY0F;14/01/2021;22;0,296;R
ES0031408111422004VY0F;14/01/2021;23;0,233;R
ES0031408111422004VY0F;15/01/2021;0;0,23;R
ES0031408111422004VY0F;15/01/2021;1;0,174;R
ES0031408111422004VY0F;15/01/2021;2;0,167;R
ES0031408111422004VY0F;15/01/2021;3;0,144;R
ES0031408111422004VY0F;15/01/2021;4;0,155;R
ES0031408111422004VY0F;15/01/2021;5;0,193;R
ES0031408111422004VY0F;15/01/2021;6;0,177;R
ES0031408111422004VY0F;15/01/2021;7;0,153;R
ES0031408111422004VY0F;15/01/2021;8;0,238;R
ES0031408111422004VY0F;15/01/2021;9;0,48;R
ES0031408111422004VY0F;15/01/2021;10;0,636;R
ES0031408111422004VY0F;15/01/2021;11;1,11;R
ES0031408111422004VY0F;15/01/2021;12;0,272;R
ES0031408111422004VY0F;15/01/2021;13;0,333;R
ES0031408111422004VY0F;15/01/2021;14;0,563;R
ES0031408111422004VY0F;15/01/2021;15;1,106;R
ES0031408111422004VY0F;15/01/2021;16;0,967;R
ES0031408111422004VY0F;15/01/2021;17;0,569;R
ES0031408111422004VY0F;15/01/2021;18;0,361;R
ES0031408111422004VY0F;15/01/2021;19;0,189;R
ES0031408111422004VY0F;15/01/2021;20;0,416;R
ES0031408111422004VY0F;15/01/2021;21;0,581;R
ES0031408111422004VY0F;15/01/2021;22;0,279;R
ES0031408111422004VY0F;15/01/2021;23;0,227;R
ES0031408111422004VY0F;16/01/2021;0;0,282;R
ES0031408111422004VY0F;16/01/2021;1;0,211;R
ES0031408111422004VY0F;16/01/2021;2;0,209;R
ES0031408111422004VY0F;16/01/2021;3;0,172;R
ES0031408111422004VY0F;16/01/2021;4;0,158;R
ES0031408111422004VY0F;16/01/2021;5;0,157;R
ES0031408111422004VY0F;16/01/2021;6;0,181;R
ES0031408111422004VY0F;16/01/2021;7;0,15;R
ES0031408111422004VY0F;16/01/2021;8;0,236;R
ES0031408111422004VY0F;16/01/2021;9;0,284;R
ES0031408111422004VY0F;16/01/2021;10;0,395;R
ES0031408111422004VY0F;16/01/2021;11;0,243;R
ES0031408111422004VY0F;16/01/2021;12;0,129;R
ES0031408111422004VY0F;16/01/2021;13;0,28;R
ES0031408111422004VY0F;16/01/2021;14;0,521;R
ES0031408111422004VY0F;16/01/2021;15;0,349;R
ES0031408111422004VY0F;16/01/2021;16;0,238;R
ES0031408111422004VY0F;16/01/2021;17;0,141;R
